timestamp,lat,lon,alt
2024-08-29T03:56:00.074978,40.7863714,-119.2021734,1191.961
2024-08-29T03:56:01.988537,40.7863773,-119.2022353,1191.393
2024-08-29T03:56:04.003638,40.7863826,-119.202295,1191.316
2024-08-29T03:56:06.013872,40.7863835,-119.2023625,1190.394
2024-08-29T03:56:08.050804,40.7863849,-119.202426,1189.581
2024-08-29T03:56:10.008219,40.7863816,-119.202485,1189.609
2024-08-29T03:56:12.065227,40.7863726,-119.2025369,1189.979
2024-08-29T03:56:15.048858,40.786375,-119.2025987,1187.833
2024-08-29T03:56:18.052007,40.7863747,-119.2026629,1186.899
2024-08-29T03:56:20.026081,40.786376,-119.2027203,1186.264
2024-08-29T03:56:22.011323,40.7863753,-119.2027859,1186.268
2024-08-29T03:56:23.977555,40.7863755,-119.20285,1186.492
2024-08-29T03:56:26.058584,40.7863748,-119.2029117,1186.671
2024-08-29T03:56:27.978561,40.7863704,-119.202975,1186.978
2024-08-29T03:56:29.979002,40.7863686,-119.2030411,1186.917
2024-08-29T03:56:32.045785,40.7863693,-119.2031126,1186.391
2024-08-29T03:56:34.023726,40.7863695,-119.2031826,1186.389
2024-08-29T03:56:35.990867,40.7863685,-119.2032522,1186.23
2024-08-29T03:56:38.059259,40.7863719,-119.2033223,1186.184
2024-08-29T03:56:40.070898,40.7863737,-119.2033906,1186.12
2024-08-29T03:56:42.041939,40.7863776,-119.2034569,1186.14
2024-08-29T03:56:43.995192,40.7863901,-119.2035323,1187.019
2024-08-29T03:56:46.024717,40.786404,-119.2036137,1187.404
2024-08-29T03:56:48.014193,40.7864257,-119.20369,1187.726
2024-08-29T03:56:50.070228,40.7864429,-119.2037545,1186.735
2024-08-29T03:56:52.016156,40.7864571,-119.2038141,1186.88
2024-08-29T03:56:53.981498,40.7864719,-119.2038746,1187.769
2024-08-29T03:56:56.083059,40.7864838,-119.203927,1189.381
2024-08-29T03:56:58.059190,40.7864956,-119.2039776,1189.938
2024-08-29T03:57:00.047581,40.7865145,-119.2040349,1190.057
2024-08-29T03:57:02.024845,40.7865285,-119.2040939,1190.572
2024-08-29T03:57:05.037212,40.7865411,-119.2041639,1191.232
2024-08-29T03:57:08.002855,40.7865543,-119.2042286,1191.153
2024-08-29T03:57:11.026734,40.7865661,-119.2042831,1191.594
2024-08-29T03:57:13.999349,40.7865756,-119.2043465,1190.569
2024-08-29T03:57:16.999740,40.7865917,-119.2044021,1190.626
2024-08-29T03:57:21.068854,40.7866218,-119.2044637,1190.157
2024-08-29T03:57:24.002725,40.7866463,-119.2045312,1190.005
2024-08-29T03:57:27.982546,40.7866827,-119.2045948,1189.643
2024-08-29T03:57:31.975175,40.7867315,-119.2046508,1189.027
2024-08-29T03:57:35.069921,40.7867757,-119.2047063,1189.333
2024-08-29T03:57:38.068526,40.7868134,-119.2047641,1188.93
2024-08-29T03:57:41.063096,40.7868594,-119.204819,1188.008
2024-08-29T03:57:44.025945,40.7869102,-119.2048764,1187.792
2024-08-29T03:57:46.992182,40.7869659,-119.2049353,1187.715
2024-08-29T03:57:50.021948,40.7870186,-119.2049838,1187.489
2024-08-29T03:57:52.984863,40.7870762,-119.2050318,1187.322
2024-08-29T03:57:56.002900,40.7871327,-119.2050872,1186.951
2024-08-29T03:57:59.985638,40.7872019,-119.2051493,1186.284
2024-08-29T03:58:03.021080,40.7872671,-119.205191,1186.895
2024-08-29T03:58:05.986529,40.7873289,-119.2052238,1187.269
2024-08-29T03:58:09.021357,40.7873819,-119.2052513,1187.588
2024-08-29T03:58:11.980195,40.7874483,-119.2052915,1187.322
2024-08-29T03:58:15.028881,40.7875158,-119.205332,1187.483
2024-08-29T03:58:17.997934,40.7875745,-119.2053686,1187.955
2024-08-29T03:58:20.980883,40.7876284,-119.2054026,1188.307
2024-08-29T03:58:24.979861,40.787691,-119.2054455,1188.755
2024-08-29T03:58:29.074805,40.7877495,-119.2054871,1189.368
2024-08-29T03:58:33.079617,40.7877995,-119.2055223,1189.572
